Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
128,P0,سائق خاص من البحرين الى الظهران,AR,Systematic long-tail expansion,Commercial,البحرين,الظهران,سائق خاص,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
129,P0,سائق خاص من البحرين الى مدينة الكويت,AR,Systematic long-tail expansion,Commercial,البحرين,مدينة الكويت,سائق خاص,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
130,P0,سائق خاص من البحرين الى مطار الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,مطار الدمام,سائق خاص,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
131,P0,سائق خاص من الخبر الى البحرين,AR,Systematic long-tail expansion,Commercial,الخبر,البحرين,سائق خاص,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
132,P0,سائق خاص من الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,الدمام,البحرين,سائق خاص,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
133,P0,سائق خاص من الدوحة الى البحرين,AR,Systematic long-tail expansion,Commercial,الدوحة,البحرين,سائق خاص,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
134,P0,سائق خاص من الظهران الى البحرين,AR,Systematic long-tail expansion,Commercial,الظهران,البحرين,سائق خاص,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
135,P0,سائق خاص من مدينة الكويت الى البحرين,AR,Systematic long-tail expansion,Commercial,مدينة الكويت,البحرين,سائق خاص,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
136,P0,سائق خاص من مطار الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,مطار الدمام,البحرين,سائق خاص,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
137,P0,سواق من أرامكو الى البحرين,AR,Systematic long-tail expansion,Commercial,أرامكو,البحرين,سواق,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
138,P0,سواق من البحرين الى أرامكو,AR,Systematic long-tail expansion,Commercial,البحرين,أرامكو,سواق,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
